,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,0.0
1,Marseille,2020,P,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,HCH,0.0
4,Marseille,2020,HPE,0.0
5,Marseille,2030,HCE,1356.5170500638947
6,Marseille,2030,P,1353.0170500638947
7,Marseille,2030,HPH,1356.5170500638947
8,Marseille,2030,HCH,1356.5170500638947
9,Marseille,2030,HPE,1356.5170500638947
10,Marseille,2040,HCE,3244.5280266159616
11,Marseille,2040,P,3236.6280266159615
12,Marseille,2040,HPH,3244.5280266159616
13,Marseille,2040,HCH,3244.5280266159616
14,Marseille,2040,HPE,3244.5280266159616
15,Marseille,2050,HCE,3405.0067576952215
16,Marseille,2050,P,3379.0394840797235
17,Marseille,2050,HPH,3405.0067576952215
18,Marseille,2050,HCH,3405.0067576952215
19,Marseille,2050,HPE,3405.0067576952215
