,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,tankH2_G,-0.0
1,Marseille,2020,Battery,-0.0
2,Marseille,2020,saltCavernH2_G,-0.0
3,Marseille,2030,tankH2_G,-0.0
4,Marseille,2030,Battery,-0.0
5,Marseille,2030,saltCavernH2_G,-1.9875964018114535e-13
6,Marseille,2040,tankH2_G,1019840.8242154513
7,Marseille,2040,Battery,-0.0
8,Marseille,2040,saltCavernH2_G,-1.3427489111509026e-13
9,Marseille,2050,tankH2_G,1486829.1699930201
10,Marseille,2050,Battery,-0.0
11,Marseille,2050,saltCavernH2_G,-9.071130521034057e-14
