,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,France,2020,gaz,-0.0
1,France,2020,gazBio,-0.0
2,France,2020,electricity,-0.0
3,France,2020,gazNat,224962571.93326876
4,France,2020,uranium,1930083941.4786062
5,France,2020,hydrogen,-0.0
6,France,2030,gaz,-0.0
7,France,2030,gazBio,-0.0
8,France,2030,electricity,-0.0
9,France,2030,gazNat,666449202.7956864
10,France,2030,uranium,1098391830.3249838
11,France,2030,hydrogen,-0.0
12,France,2040,gaz,-0.0
13,France,2040,gazBio,-0.0
14,France,2040,electricity,-0.0
15,France,2040,gazNat,32294421.13961461
16,France,2040,uranium,487456734.3834516
17,France,2040,hydrogen,-0.0
18,France,2050,gaz,-0.0
19,France,2050,gazBio,6023001.219097121
20,France,2050,electricity,-0.0
21,France,2050,gazNat,17909560.694874153
22,France,2050,uranium,225988302.84860545
23,France,2050,hydrogen,-0.0
