,AREA,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
0,France,2010,OldNuke,OldNuke,0.0
1,France,2010,OldNuke,curtailment,0.0
2,France,2010,OldNuke,HydroRiver,0.0
3,France,2010,OldNuke,HydroReservoir,0.0
4,France,2010,OldNuke,CCG_H2,0.0
5,France,2010,OldNuke,TAC,0.0
6,France,2010,OldNuke,NewNuke,0.0
7,France,2010,OldNuke,CCG,0.0
8,France,2010,OldNuke,WindOffShore,0.0
9,France,2010,OldNuke,WindOnShore,0.0
10,France,2010,OldNuke,electrolysis_AEL,0.0
11,France,2010,OldNuke,IntercoOut,0.0
12,France,2010,OldNuke,IntercoIn,0.0
13,France,2010,OldNuke,Solar,0.0
14,France,2010,OldNuke,Coal_p,0.0
15,France,2010,OldNuke,TAC_H2,0.0
16,France,2010,curtailment,OldNuke,0.0
17,France,2010,curtailment,curtailment,0.0
18,France,2010,curtailment,HydroRiver,0.0
19,France,2010,curtailment,HydroReservoir,0.0
20,France,2010,curtailment,CCG_H2,0.0
21,France,2010,curtailment,TAC,0.0
22,France,2010,curtailment,NewNuke,0.0
23,France,2010,curtailment,CCG,0.0
24,France,2010,curtailment,WindOffShore,0.0
25,France,2010,curtailment,WindOnShore,0.0
26,France,2010,curtailment,electrolysis_AEL,0.0
27,France,2010,curtailment,IntercoOut,0.0
28,France,2010,curtailment,IntercoIn,0.0
29,France,2010,curtailment,Solar,0.0
30,France,2010,curtailment,Coal_p,0.0
31,France,2010,curtailment,TAC_H2,0.0
32,France,2010,HydroRiver,OldNuke,0.0
33,France,2010,HydroRiver,curtailment,0.0
34,France,2010,HydroRiver,HydroRiver,0.0
35,France,2010,HydroRiver,HydroReservoir,0.0
36,France,2010,HydroRiver,CCG_H2,0.0
37,France,2010,HydroRiver,TAC,0.0
38,France,2010,HydroRiver,NewNuke,0.0
39,France,2010,HydroRiver,CCG,0.0
40,France,2010,HydroRiver,WindOffShore,0.0
41,France,2010,HydroRiver,WindOnShore,0.0
42,France,2010,HydroRiver,electrolysis_AEL,0.0
43,France,2010,HydroRiver,IntercoOut,0.0
44,France,2010,HydroRiver,IntercoIn,0.0
45,France,2010,HydroRiver,Solar,0.0
46,France,2010,HydroRiver,Coal_p,0.0
47,France,2010,HydroRiver,TAC_H2,0.0
48,France,2010,HydroReservoir,OldNuke,0.0
49,France,2010,HydroReservoir,curtailment,0.0
50,France,2010,HydroReservoir,HydroRiver,0.0
51,France,2010,HydroReservoir,HydroReservoir,0.0
52,France,2010,HydroReservoir,CCG_H2,0.0
53,France,2010,HydroReservoir,TAC,0.0
54,France,2010,HydroReservoir,NewNuke,0.0
55,France,2010,HydroReservoir,CCG,0.0
56,France,2010,HydroReservoir,WindOffShore,0.0
57,France,2010,HydroReservoir,WindOnShore,0.0
58,France,2010,HydroReservoir,electrolysis_AEL,0.0
59,France,2010,HydroReservoir,IntercoOut,0.0
60,France,2010,HydroReservoir,IntercoIn,0.0
61,France,2010,HydroReservoir,Solar,0.0
62,France,2010,HydroReservoir,Coal_p,0.0
63,France,2010,HydroReservoir,TAC_H2,0.0
64,France,2010,CCG_H2,OldNuke,0.0
65,France,2010,CCG_H2,curtailment,0.0
66,France,2010,CCG_H2,HydroRiver,0.0
67,France,2010,CCG_H2,HydroReservoir,0.0
68,France,2010,CCG_H2,CCG_H2,0.0
69,France,2010,CCG_H2,TAC,0.0
70,France,2010,CCG_H2,NewNuke,0.0
71,France,2010,CCG_H2,CCG,0.0
72,France,2010,CCG_H2,WindOffShore,0.0
73,France,2010,CCG_H2,WindOnShore,0.0
74,France,2010,CCG_H2,electrolysis_AEL,0.0
75,France,2010,CCG_H2,IntercoOut,0.0
76,France,2010,CCG_H2,IntercoIn,0.0
77,France,2010,CCG_H2,Solar,0.0
78,France,2010,CCG_H2,Coal_p,0.0
79,France,2010,CCG_H2,TAC_H2,0.0
80,France,2010,TAC,OldNuke,0.0
81,France,2010,TAC,curtailment,0.0
82,France,2010,TAC,HydroRiver,0.0
83,France,2010,TAC,HydroReservoir,0.0
84,France,2010,TAC,CCG_H2,0.0
85,France,2010,TAC,TAC,0.0
86,France,2010,TAC,NewNuke,0.0
87,France,2010,TAC,CCG,0.0
88,France,2010,TAC,WindOffShore,0.0
89,France,2010,TAC,WindOnShore,0.0
90,France,2010,TAC,electrolysis_AEL,0.0
91,France,2010,TAC,IntercoOut,0.0
92,France,2010,TAC,IntercoIn,0.0
93,France,2010,TAC,Solar,0.0
94,France,2010,TAC,Coal_p,0.0
95,France,2010,TAC,TAC_H2,0.0
96,France,2010,NewNuke,OldNuke,0.0
97,France,2010,NewNuke,curtailment,0.0
98,France,2010,NewNuke,HydroRiver,0.0
99,France,2010,NewNuke,HydroReservoir,0.0
100,France,2010,NewNuke,CCG_H2,0.0
101,France,2010,NewNuke,TAC,0.0
102,France,2010,NewNuke,NewNuke,0.0
103,France,2010,NewNuke,CCG,0.0
