AREA;YEAR;powerCosts;capacityCosts;Prod;elecUse;gasUse;carbon;prodPercent;elecPercent;gasPercent;importElec;TURPE;capexElec;importGas;storageElec;storageH2;importsH2;tech
Marseille;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AEL
Marseille;2030;0;0;0;-1,50E-11;0;0;1;1;0;0,00E+00;0,00E+00;0,00E+00;0;0;5,06E-11;0;AEL
Marseille;2040;0;20112898,01;745699,3402;1148376,984;0;0;1;1;0;3031352,786;13366425,11;6759378,989;0;0;2109987,03;0;AEL
Marseille;2050;0;76205524,38;3553832,537;5472902,107;0;0;1;1;0;11597676,82;66106333,06;22216335,81;0;0;23815523,38;0;AEL
Marseille;2020;754999,835;16440000;3595237,309;0;4601903,756;86039781,19;0;0;1;0;0;0;61827328,18;0;0;0;SMR
Marseille;2030;35483021,46;34752077,62;4602207,712;0;6074914,18;63462488,41;0;0;1;0;0;0;163234927,4;0;0;0;SMR
Marseille;2040;37723834,54;53079743,51;5141956,836;0;6777139,542;90881356,59;0;0;1;0;0;0;183635741,1;0;0;0;SMR
Marseille;2050;22853023,22;90989707,39;3016274,835;0;3979336,351;45053001,62;0;0;1;0;0;0;127843180,4;0;0;0;SMR
Marseille;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Imports
Marseille;2030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,18E-12;Imports
Marseille;2040;0;0;3558,78595;0;0;0;0;0;0;0;0;0;0;0;0;640581,471;Imports
Marseille;2050;0;0;43692,62815;0;0;0;0;0;0;0;0;0;0;0;0;7864673,067;Imports
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Import;coût grid elec (€/MWh);;;;;;
;;;;;;;;;Quantities;2030;0;0;;;;;;
;;;;;;;;;;2040;1004,959541;16,31685378;;;;;;
;;;;;;;;;;2050;4918,993287;15,79673021;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;YEAR_op;Alkaline electrolysis;feedRE;;;;;;
;;;;;;;;;Quantities;2020;0;0;;;;;;
;;;;;;;;;;2030;-7,99E-15;-1,44E-14;;;;;;
;;;;;;;;;;2040;745,6993402;96,63609675;148,819589;45,41995469;;;;
;;;;;;;;;;2050;3553,832537;377,4809019;581,320589;38,2170118;;;;
