YEAR_op;totalProd;carbon;total_carbon;costs;total_costs;;;;
2020;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;;;;
2030;4602,207712;3,955095802;546065172;2,285543211;315556337,7;;;;
2040;5891,214962;3,659385776;646746847;2,43308585;430014952,9;;;;
2050;6613,8;1,381992696;274206698,9;2,58722831;513342317,8;;;;
;;;;;;;;;
Conv;;;;;;;;;
YEAR_op;totalProd;carbon;total_carbon;costs;total_costs;;;;
2020;3595,237309;8,684437659;936678428,5;1,318857048;142248121,9;;;;
2030;4602,207712;8,683729262;1198929773;1,923383819;265554355,4;;;;
2040;5891,214962;8,683020865;1534606273;1,993031092;352241237,7;;;;
2050;6613,8;8,682666667;1722762624;2,241843086;444813054;;;;
;;;;;;;;;
Diff;;;;;;;;;
YEAR_op;totalProd;carbon;total_carbon;costs;total_costs;;carbon emission (kt/year);;
2020;;;0,041669011;;22831536,66;;4,1669E-08;;
2030;;;-652864601,5;;50001982,31;;-652,8646015;;
2040;;;-887859426;;77773715,16;;-887,859426;;
2050;;;-1448555925;;68529263,75;;-1448,555925;;
;;;;;;;;;
Total;;;;;2,191364979;;-29,89279953;;-73,30745242
