,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gaz,-0.0
1,Marseille,2020,electricity,-0.0
2,Marseille,2020,hydrogen,-0.0
3,Marseille,2020,gazBio,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gaz,-0.0
6,Marseille,2030,electricity,-0.0
7,Marseille,2030,hydrogen,3.362198264051782e-08
8,Marseille,2030,gazBio,-0.0
9,Marseille,2030,gazNat,60772487.45354318
10,Marseille,2040,gaz,-0.0
11,Marseille,2040,electricity,3611037.5204277844
12,Marseille,2040,hydrogen,329.8511915409324
13,Marseille,2040,gazBio,-0.0
14,Marseille,2040,gazNat,32889769.728619132
15,Marseille,2050,gaz,-0.0
16,Marseille,2050,electricity,4256078.81411038
17,Marseille,2050,hydrogen,-0.0
18,Marseille,2050,gazBio,1441898.5524384095
19,Marseille,2050,gazNat,8065250.72649748
