,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,61232163.97746022
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,-0.0
8,Marseille,2030,hydrogen,-0.0
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,46730520.09149431
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,815107.438295011
13,Marseille,2040,hydrogen,356570.6465012695
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,17232654.490881044
16,Marseille,2050,gazBio,6095597.419214017
17,Marseille,2050,electricity,2517146.0278117675
18,Marseille,2050,hydrogen,633605.8089275197
19,Marseille,2050,gaz,-0.0
