,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,88877077.86689086
6,Marseille,2030,gazBio,70028299.54722264
7,Marseille,2030,electricity,-0.0
8,Marseille,2030,hydrogen,-0.0
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,45341233.075281575
11,Marseille,2040,gazBio,64143812.06575768
12,Marseille,2040,electricity,5084483.97732574
13,Marseille,2040,hydrogen,572931.0112661212
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,16316460.731622629
16,Marseille,2050,gazBio,24744227.42799052
17,Marseille,2050,electricity,6905470.0075637335
18,Marseille,2050,hydrogen,584293.9572041866
19,Marseille,2050,gaz,-0.0
