,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,61232163.97746022
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,-0.0
8,Marseille,2030,hydrogen,-0.0
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,38939147.32830074
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,616937.4071635726
13,Marseille,2040,hydrogen,11055707.738148497
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,5847256.280447143
16,Marseille,2050,gazBio,-0.0
17,Marseille,2050,electricity,1687106.07360021
18,Marseille,2050,hydrogen,22246414.4021584
19,Marseille,2050,gaz,-0.0
