,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,-0.0
1,Marseille,2020,P,0.0
2,Marseille,2020,HCH,-0.0
3,Marseille,2020,HPE,-0.0
4,Marseille,2020,HPH,0.0
5,Marseille,2030,HCE,-0.0
6,Marseille,2030,P,0.0
7,Marseille,2030,HCH,-0.0
8,Marseille,2030,HPE,-0.0
9,Marseille,2030,HPH,0.0
10,Marseille,2040,HCE,421.7212020300565
11,Marseille,2040,P,416.5712020300565
12,Marseille,2040,HCH,421.7212020300565
13,Marseille,2040,HPE,421.7212020300565
14,Marseille,2040,HPH,421.7212020300565
15,Marseille,2050,HCE,1837.36022506827
16,Marseille,2050,P,1798.1453897882939
17,Marseille,2050,HCH,1837.36022506827
18,Marseille,2050,HPE,1837.36022506827
19,Marseille,2050,HPH,1837.36022506827
