,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCH,-0.0
1,Marseille,2020,HPH,0.0
2,Marseille,2020,HPE,-0.0
3,Marseille,2020,HCE,-0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HCH,-0.0
6,Marseille,2030,HPH,0.0
7,Marseille,2030,HPE,-0.0
8,Marseille,2030,HCE,-0.0
9,Marseille,2030,P,0.0
10,Marseille,2040,HCH,1572.4584680590485
11,Marseille,2040,HPH,1572.4584680590485
12,Marseille,2040,HPE,1572.4584680590485
13,Marseille,2040,HCE,1572.4769405799943
14,Marseille,2040,P,1572.1836118086906
15,Marseille,2050,HCH,3368.3430870613684
16,Marseille,2050,HPH,3368.3430870613684
17,Marseille,2050,HPE,3368.3430870613684
18,Marseille,2050,HCE,3368.3430870613684
19,Marseille,2050,P,3319.2375912505313
