,AREA,YEAR_op,TECHNOLOGIES,capacity_Pvar
0,Marseille,2020,WindOnShore,0.0
1,Marseille,2020,electrolysis_PEMEL,0.0
2,Marseille,2020,WindOffShore_flot,0.0
3,Marseille,2020,SMR + CCS2,0.0
4,Marseille,2020,CCS1,0.0
5,Marseille,2020,curtailment,0.0
6,Marseille,2020,CCS2,0.0
7,Marseille,2020,Solar,0.0
8,Marseille,2020,electrolysis_AEL,0.0
9,Marseille,2020,SMR,411.0
10,Marseille,2020,SMR + CCS1,0.0
11,Marseille,2030,WindOnShore,0.0
12,Marseille,2030,electrolysis_PEMEL,0.0
13,Marseille,2030,WindOffShore_flot,0.0
14,Marseille,2030,SMR + CCS2,0.0
15,Marseille,2030,CCS1,0.0
16,Marseille,2030,curtailment,0.0
17,Marseille,2030,CCS2,0.0
18,Marseille,2030,Solar,0.0
19,Marseille,2030,electrolysis_AEL,0.0
20,Marseille,2030,SMR,616.5
21,Marseille,2030,SMR + CCS1,0.0
22,Marseille,2040,WindOnShore,49.99999999999999
23,Marseille,2040,electrolysis_PEMEL,0.0
24,Marseille,2040,WindOffShore_flot,0.0
25,Marseille,2040,SMR + CCS2,0.0
26,Marseille,2040,CCS1,0.0
27,Marseille,2040,curtailment,100000.0
28,Marseille,2040,CCS2,0.0
29,Marseille,2040,Solar,9.181296334716636
30,Marseille,2040,electrolysis_AEL,1107.2458675181065
31,Marseille,2040,SMR,616.5
32,Marseille,2040,SMR + CCS1,0.0
33,Marseille,2050,WindOnShore,150.0
34,Marseille,2050,electrolysis_PEMEL,0.0
35,Marseille,2050,WindOffShore_flot,0.0
36,Marseille,2050,SMR + CCS2,0.0
37,Marseille,2050,CCS1,0.0
38,Marseille,2050,curtailment,100000.0
39,Marseille,2050,CCS2,0.0
40,Marseille,2050,Solar,109.18129633471663
41,Marseille,2050,electrolysis_AEL,1669.9259280404665
42,Marseille,2050,SMR,579.280538472061
43,Marseille,2050,SMR + CCS1,0.0
