,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,86183833.08304623
6,Marseille,2030,gazBio,67906229.8639722
7,Marseille,2030,electricity,-0.0
8,Marseille,2030,hydrogen,-0.0
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,7142855.015261642
11,Marseille,2040,gazBio,51332861.17402007
12,Marseille,2040,electricity,16574669.527524738
13,Marseille,2040,hydrogen,119719.65281493196
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,616996.2293395748
16,Marseille,2050,gazBio,27621426.28847259
17,Marseille,2050,electricity,9312716.657149483
18,Marseille,2050,hydrogen,983000.0214187033
19,Marseille,2050,gaz,-0.0
