,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gaz,-0.0
1,Marseille,2020,electricity,-0.0
2,Marseille,2020,hydrogen,-0.0
3,Marseille,2020,gazBio,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gaz,-0.0
6,Marseille,2030,electricity,-0.0
7,Marseille,2030,hydrogen,43633920.91130529
8,Marseille,2030,gazBio,-0.0
9,Marseille,2030,gazNat,28785606.649452563
10,Marseille,2040,gaz,-0.0
11,Marseille,2040,electricity,1367852.914633083
12,Marseille,2040,hydrogen,36128281.43665945
13,Marseille,2040,gazBio,-0.0
14,Marseille,2040,gazNat,10043183.785129853
15,Marseille,2050,gaz,-0.0
16,Marseille,2050,electricity,2654437.557913502
17,Marseille,2050,hydrogen,12084176.78213123
18,Marseille,2050,gazBio,-0.0
19,Marseille,2050,gazNat,1714042.4445644293
