,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCH,-0.0
1,Marseille,2020,HPH,0.0
2,Marseille,2020,HPE,-0.0
3,Marseille,2020,HCE,-0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HCH,-0.0
6,Marseille,2030,HPH,0.0
7,Marseille,2030,HPE,-0.0
8,Marseille,2030,HCE,-0.0
9,Marseille,2030,P,0.0
10,Marseille,2040,HCH,1946.0299564862637
11,Marseille,2040,HPH,1946.0299564862637
12,Marseille,2040,HPE,1946.0299564862637
13,Marseille,2040,HCE,1946.0299564862637
14,Marseille,2040,P,1907.3568011325503
15,Marseille,2050,HCH,3110.031119465818
16,Marseille,2050,HPH,3110.031119465818
17,Marseille,2050,HPE,3110.031119465818
18,Marseille,2050,HCE,3110.031119465818
19,Marseille,2050,P,3110.031119465818
