,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gaz,-0.0
1,Marseille,2020,electricity,-0.0
2,Marseille,2020,hydrogen,-0.0
3,Marseille,2020,gazBio,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gaz,-0.0
6,Marseille,2030,electricity,-0.0
7,Marseille,2030,hydrogen,-0.0
8,Marseille,2030,gazBio,-0.0
9,Marseille,2030,gazNat,59780569.25625023
10,Marseille,2040,gaz,-0.0
11,Marseille,2040,electricity,4668701.779233928
12,Marseille,2040,hydrogen,292.1128555524445
13,Marseille,2040,gazBio,6628929.986786439
14,Marseille,2040,gazNat,24090075.841156393
15,Marseille,2050,gaz,-0.0
16,Marseille,2050,electricity,2477497.434063263
17,Marseille,2050,hydrogen,-0.0
18,Marseille,2050,gazBio,2768869.640002806
19,Marseille,2050,gazNat,1187380.1691202219
