,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCH,-0.0
1,Marseille,2020,HPH,0.0
2,Marseille,2020,HPE,-0.0
3,Marseille,2020,HCE,-0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HCH,-0.0
6,Marseille,2030,HPH,0.0
7,Marseille,2030,HPE,-0.0
8,Marseille,2030,HCE,-0.0
9,Marseille,2030,P,0.0
10,Marseille,2040,HCH,1754.8129825843025
11,Marseille,2040,HPH,1754.8129825843025
12,Marseille,2040,HPE,1756.1760617116927
13,Marseille,2040,HCE,1756.4623411099624
14,Marseille,2040,P,1031.8851920869242
15,Marseille,2050,HCH,2414.8288339049245
16,Marseille,2050,HPH,2414.8288339049245
17,Marseille,2050,HPE,2414.8288339049245
18,Marseille,2050,HCE,2414.8288339049245
19,Marseille,2050,P,1461.9715125935534
