,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCH,-0.0
1,Marseille,2020,HPH,0.0
2,Marseille,2020,HPE,-0.0
3,Marseille,2020,HCE,-0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HCH,-0.0
6,Marseille,2030,HPH,0.0
7,Marseille,2030,HPE,-0.0
8,Marseille,2030,HCE,-0.0
9,Marseille,2030,P,0.0
10,Marseille,2040,HCH,1758.4099733137848
11,Marseille,2040,HPH,1758.4099733137848
12,Marseille,2040,HPE,1758.4099733137848
13,Marseille,2040,HCE,1758.4099733137848
14,Marseille,2040,P,1757.4300051630828
15,Marseille,2050,HCH,2502.748498791268
16,Marseille,2050,HPH,2502.748498791268
17,Marseille,2050,HPE,2502.748498791268
18,Marseille,2050,HCE,2502.748498791268
19,Marseille,2050,P,2462.4720698765177
