,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,27411657.689409934
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,-0.0
8,Marseille,2030,hydrogen,45911509.55573873
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,9291074.75338133
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,1286703.487370213
13,Marseille,2040,hydrogen,38633904.91841901
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,2830186.1038608095
16,Marseille,2050,gazBio,-0.0
17,Marseille,2050,electricity,958387.9537713985
18,Marseille,2050,hydrogen,12655369.170320656
19,Marseille,2050,gaz,-0.0
