,Battery,tankH2_G,saltCavernH2_G,Battery,tankH2_G,saltCavernH2_G,Battery,tankH2_G,saltCavernH2_G,Battery,tankH2_G,saltCavernH2_G
AREA,Marseille,Marseille,Marseille,Marseille,Marseille,Marseille,Marseille,Marseille,Marseille,Marseille,Marseille,Marseille
YEAR,2010,2010,2010,2020,2020,2020,2030,2030,2030,2040,2040,2040
c_max,0.0,0.0,0.0,0.0,2.576763250861008e-20,0.0,0.0,6381.834792810364,0.0,0.0,36381.83479281036,0.0
chargeFactors,{'electricity': 0.92},"{'electricity': 0.0168, 'hydrogen': 1}","{'electricity': 0.0168, 'hydrogen': 1}",{'electricity': 0.92},"{'electricity': 0.0168, 'hydrogen': 1}","{'electricity': 0.0168, 'hydrogen': 1}",{'electricity': 0.92},"{'electricity': 0.0168, 'hydrogen': 1}","{'electricity': 0.0168, 'hydrogen': 1}",{'electricity': 0.92},"{'electricity': 0.0168, 'hydrogen': 1}","{'electricity': 0.0168, 'hydrogen': 1}"
dischargeFactors,{'electricity': 1.09},{'hydrogen': 1},{'hydrogen': 1},{'electricity': 1.09},{'hydrogen': 1},{'hydrogen': 1},{'electricity': 1.09},{'hydrogen': 1},{'hydrogen': 1},{'electricity': 1.09},{'hydrogen': 1},{'hydrogen': 1}
dissipation,0.0085,0,0,0.0085,0,0,0.0085,0,0,0.0085,0,0
p_max,0.0,0.0,0.0,0.0,-8.096463222714642e-21,0.0,0.0,479.5052898267963,0.0,0.0,920.4404543117726,0.0
resource,electricity,hydrogen,hydrogen,electricity,hydrogen,hydrogen,electricity,hydrogen,hydrogen,electricity,hydrogen,hydrogen
storageEnergyCost,314333.3333333333,5400.0,280,273000.0,5400.0,280,203000.0,5400.0,280,158000.0,5400.0,280
storageOperationCost,11000.0,1000.0,15000.0,11000.0,2000.0,15000.0,11000.0,2000.0,15000.0,11000.0,2000.0,15000.0
storagePowerCost,222666.6666666667,12600.0,373000.0,198500.0,12600.0,373000.0,166000.0,12600.0,373000.0,165500.0,12600.0,373000.0
storagelifeSpan,15.0,20.0,40.0,15.0,20.0,40.0,15.0,20.0,40.0,15.0,20.0,40.0
