,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gaz,-0.0
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,hydrogen,-0.0
3,Marseille,2020,electricity,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gaz,-0.0
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,hydrogen,36031375.13608223
8,Marseille,2030,electricity,-0.0
9,Marseille,2030,gazNat,33371821.059623845
10,Marseille,2040,gaz,-0.0
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,hydrogen,40010390.33999757
13,Marseille,2040,electricity,-0.0
14,Marseille,2040,gazNat,23301391.911082886
15,Marseille,2050,gaz,-0.0
16,Marseille,2050,gazBio,-0.0
17,Marseille,2050,hydrogen,23756128.697602328
18,Marseille,2050,electricity,1771340.3064063988
19,Marseille,2050,gazNat,6707801.969239538
