,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gaz,-0.0
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,hydrogen,-0.0
3,Marseille,2020,electricity,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gaz,-0.0
6,Marseille,2030,gazBio,70028299.54722264
7,Marseille,2030,hydrogen,-0.0
8,Marseille,2030,electricity,-0.0
9,Marseille,2030,gazNat,88877077.86689086
10,Marseille,2040,gaz,-0.0
11,Marseille,2040,gazBio,71800185.60808748
12,Marseille,2040,hydrogen,-0.0
13,Marseille,2040,electricity,-0.0
14,Marseille,2040,gazNat,58923494.997264415
15,Marseille,2050,gaz,-0.0
16,Marseille,2050,gazBio,23600245.683084648
17,Marseille,2050,hydrogen,1390552.6974428627
18,Marseille,2050,electricity,7148368.023325991
19,Marseille,2050,gazNat,22221053.602924563
