,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gaz,-0.0
1,Marseille,2020,electricity,-0.0
2,Marseille,2020,hydrogen,-0.0
3,Marseille,2020,gazBio,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gaz,-0.0
6,Marseille,2030,electricity,2374954.5783376354
7,Marseille,2030,hydrogen,161436.1118319021
8,Marseille,2030,gazBio,-0.0
9,Marseille,2030,gazNat,42144496.085365124
10,Marseille,2040,gaz,-0.0
11,Marseille,2040,electricity,6770696.764548655
12,Marseille,2040,hydrogen,-0.0
13,Marseille,2040,gazBio,3773652.1732915845
14,Marseille,2040,gazNat,8312409.680039529
15,Marseille,2050,gaz,-0.0
16,Marseille,2050,electricity,4347869.022865685
17,Marseille,2050,hydrogen,-0.0
18,Marseille,2050,gazBio,5097145.648598617
19,Marseille,2050,gazNat,497188.7581413934
