,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,Battery,-0.0
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,tankH2_G,-0.0
3,Marseille,2030,Battery,-0.0
4,Marseille,2030,saltCavernH2_G,1938650.236904014
5,Marseille,2030,tankH2_G,1355470.734699686
6,Marseille,2040,Battery,-0.0
7,Marseille,2040,saltCavernH2_G,5888669.494396795
8,Marseille,2040,tankH2_G,4100941.4063384747
9,Marseille,2050,Battery,-0.0
10,Marseille,2050,saltCavernH2_G,13906767.446484726
11,Marseille,2050,tankH2_G,4247617.31881178
