,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCH,-0.0
1,Marseille,2020,HPH,0.0
2,Marseille,2020,HPE,-0.0
3,Marseille,2020,HCE,-0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HCH,1354.9170500638945
6,Marseille,2030,HPH,1354.9170500638945
7,Marseille,2030,HPE,1354.9170500638945
8,Marseille,2030,HCE,1354.9170500638945
9,Marseille,2030,P,1341.1748765813695
10,Marseille,2040,HCH,3242.828026615962
11,Marseille,2040,HPH,3242.828026615962
12,Marseille,2040,HPE,3242.828026615962
13,Marseille,2040,HCE,3242.828026615962
14,Marseille,2040,P,3232.228026615962
15,Marseille,2050,HCH,3379.556757695222
16,Marseille,2050,HPH,3379.556757695222
17,Marseille,2050,HPE,3379.556757695222
18,Marseille,2050,HCE,3379.556757695222
19,Marseille,2050,P,2048.395574546019
