,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCH,-0.0
1,Marseille,2020,HPH,0.0
2,Marseille,2020,HPE,-0.0
3,Marseille,2020,HCE,-0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HCH,1357.0439485881666
6,Marseille,2030,HPH,1357.0439485881666
7,Marseille,2030,HPE,1357.0439485881666
8,Marseille,2030,HCE,1357.0439485881666
9,Marseille,2030,P,1343.3170500638946
10,Marseille,2040,HCH,3287.6282719023698
11,Marseille,2040,HPH,3287.6282719023698
12,Marseille,2040,HPE,3287.6282719023698
13,Marseille,2040,HCE,3287.6282719023698
14,Marseille,2040,P,3248.02827190237
15,Marseille,2050,HCH,3829.0138256797186
16,Marseille,2050,HPH,3829.0138256797186
17,Marseille,2050,HPE,3829.0138256797186
18,Marseille,2050,HCE,3829.0138256797186
19,Marseille,2050,P,3829.0138256797186
