,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gaz,-0.0
2,Marseille,2020,gazBio,-0.0
3,Marseille,2020,electricity,-0.0
4,Marseille,2020,hydrogen,-0.0
5,Marseille,2030,gazNat,40467196.405119814
6,Marseille,2030,gaz,-0.0
7,Marseille,2030,gazBio,-0.0
8,Marseille,2030,electricity,2978270.13309272
9,Marseille,2030,hydrogen,7594498.238400319
10,Marseille,2040,gazNat,16116055.707947072
11,Marseille,2040,gaz,-0.0
12,Marseille,2040,gazBio,-0.0
13,Marseille,2040,electricity,4731253.787170575
14,Marseille,2040,hydrogen,4520754.300555587
15,Marseille,2050,gazNat,8110936.1069748625
16,Marseille,2050,gaz,-0.0
17,Marseille,2050,gazBio,4027841.325009012
18,Marseille,2050,electricity,3295460.8911104943
19,Marseille,2050,hydrogen,-0.0
