,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,-0.0
1,Marseille,2020,P,0.0
2,Marseille,2020,HCH,-0.0
3,Marseille,2020,HPE,-0.0
4,Marseille,2020,HPH,0.0
5,Marseille,2030,HCE,1288.7947347561567
6,Marseille,2030,P,1270.0073725773507
7,Marseille,2030,HCH,1288.7947347561567
8,Marseille,2030,HPE,1288.7947347561567
9,Marseille,2030,HPH,1288.7947347561567
10,Marseille,2040,HCE,2678.77249255599
11,Marseille,2040,P,2634.22249255599
12,Marseille,2040,HCH,2678.77249255599
13,Marseille,2040,HPE,2678.77249255599
14,Marseille,2040,HPH,2678.77249255599
15,Marseille,2050,HCE,2737.0697450223183
16,Marseille,2050,P,957.7703971870467
17,Marseille,2050,HCH,2737.0697450223183
18,Marseille,2050,HPE,2737.0697450223183
19,Marseille,2050,HPH,2737.0697450223183
