,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,40535612.16606429
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,3149065.1658074805
8,Marseille,2030,hydrogen,7594498.238400325
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,16149989.983485026
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,4745982.4726066245
13,Marseille,2040,hydrogen,4235928.098706675
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,8092816.069053806
16,Marseille,2050,gazBio,4133092.8730259757
17,Marseille,2050,electricity,3117225.032275559
18,Marseille,2050,hydrogen,462071.15477088303
19,Marseille,2050,gaz,-0.0
