,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,59780569.25625023
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,-4.159217010633723e-10
8,Marseille,2030,hydrogen,-0.0
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,28068060.578195
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,5655423.425163925
13,Marseille,2040,hydrogen,25216494.301166154
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,-0.0
16,Marseille,2050,gazBio,-0.0
17,Marseille,2050,electricity,11724104.82838568
18,Marseille,2050,hydrogen,99432736.74015477
19,Marseille,2050,gaz,-0.0
