,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,86770121.51114763
6,Marseille,2030,gazBio,68368180.03886625
7,Marseille,2030,electricity,-4.452585422659967e-10
8,Marseille,2030,hydrogen,-0.0
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,9861186.94193949
11,Marseille,2040,gazBio,50195469.93398773
12,Marseille,2040,electricity,15903645.75064374
13,Marseille,2040,hydrogen,25438643.857774284
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,-0.0
16,Marseille,2050,gazBio,-0.0
17,Marseille,2050,electricity,11364003.030527793
18,Marseille,2050,hydrogen,99931278.64213592
19,Marseille,2050,gaz,-0.0
