,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,-0.0
1,Marseille,2020,P,0.0
2,Marseille,2020,HCH,-0.0
3,Marseille,2020,HPE,-0.0
4,Marseille,2020,HPH,0.0
5,Marseille,2030,HCE,-0.0
6,Marseille,2030,P,0.0
7,Marseille,2030,HCH,-0.0
8,Marseille,2030,HPE,-0.0
9,Marseille,2030,HPH,0.0
10,Marseille,2040,HCE,438.3467531437738
11,Marseille,2040,P,432.2602974475713
12,Marseille,2040,HCH,438.3467531437738
13,Marseille,2040,HPE,438.3467531437738
14,Marseille,2040,HPH,438.3467531437738
15,Marseille,2050,HCE,2044.0976829175793
16,Marseille,2050,P,1999.499377100256
17,Marseille,2050,HCH,2044.0976829175793
18,Marseille,2050,HPE,2044.0976829175793
19,Marseille,2050,HPH,2044.0976829175793
