,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,61232163.97746022
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,-1.7788638821234066e-11
8,Marseille,2030,hydrogen,1.9442952671220847e-12
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,46536137.77747378
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,768191.6931050541
13,Marseille,2040,hydrogen,162333.25501657845
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,16059430.223130088
16,Marseille,2050,gazBio,5827119.222196512
17,Marseille,2050,electricity,1985503.8526939258
18,Marseille,2050,hydrogen,1346419.5387104617
19,Marseille,2050,gaz,-0.0
