,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,0.0
1,Marseille,2020,P,0.0
2,Marseille,2020,HCH,0.0
3,Marseille,2020,HPE,0.0
4,Marseille,2020,HPH,0.0
5,Marseille,2030,HCE,0.0
6,Marseille,2030,P,0.0
7,Marseille,2030,HCH,-6.228499798740038e-15
8,Marseille,2030,HPE,0.0
9,Marseille,2030,HPH,-6.228499798740038e-15
10,Marseille,2040,HCE,438.40194301719157
11,Marseille,2040,P,432.26029744757125
12,Marseille,2040,HCH,438.40194301719157
13,Marseille,2040,HPE,438.40194301719157
14,Marseille,2040,HPH,438.40194301719157
15,Marseille,2050,HCE,2046.2617821635474
16,Marseille,2050,P,2004.3410226698766
17,Marseille,2050,HCH,2046.2617821635474
18,Marseille,2050,HPE,2046.2617821635474
19,Marseille,2050,HPH,2046.2617821635474
