,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,88877077.86689086
6,Marseille,2030,gazBio,70028299.54722264
7,Marseille,2030,electricity,-0.0
8,Marseille,2030,hydrogen,-0.0
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,44830149.45774827
11,Marseille,2040,gazBio,63518065.12744706
12,Marseille,2040,electricity,5335119.196770534
13,Marseille,2040,hydrogen,661891.5573857444
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,16393992.705611981
16,Marseille,2050,gazBio,20610861.899631564
17,Marseille,2050,electricity,6994851.268692742
18,Marseille,2050,hydrogen,1342038.8767164408
19,Marseille,2050,gaz,-0.0
