,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,hydrogen,-0.0
1,Marseille,2020,electricity,-0.0
2,Marseille,2020,gaz,-0.0
3,Marseille,2020,gazNat,34330520.63839719
4,Marseille,2020,gazBio,-0.0
5,Marseille,2030,hydrogen,73131737.94552758
6,Marseille,2030,electricity,39738372.02239161
7,Marseille,2030,gaz,-0.0
8,Marseille,2030,gazNat,-0.0
9,Marseille,2030,gazBio,-0.0
10,Marseille,2040,hydrogen,49915862.571452774
11,Marseille,2040,electricity,12123338.374818038
12,Marseille,2040,gaz,-0.0
13,Marseille,2040,gazNat,-0.0
14,Marseille,2040,gazBio,-0.0
15,Marseille,2050,hydrogen,17001597.953633755
16,Marseille,2050,electricity,4466271.642753626
17,Marseille,2050,gaz,-0.0
18,Marseille,2050,gazNat,-0.0
19,Marseille,2050,gazBio,-0.0
